Age,Education Level,Years of Experience,Industry,Role,Hours Worked per Week,Job Satisfaction,Number of Projects Completed,Performance
56,4,23,1,1,40,3,3,0
46,4,16,3,6,56,1,1,0
32,4,0,2,5,50,1,5,0
60,3,41,5,8,42,2,13,0
25,3,14,3,8,48,3,17,0
38,2,37,3,8,21,5,3,0
56,3,1,1,8,25,4,6,0
36,2,0,4,8,51,2,7,0
40,2,7,2,8,54,3,4,0
28,3,35,1,8,46,4,4,0
28,4,10,1,9,49,5,10,1
41,3,41,5,4,22,4,4,0
53,2,40,4,5,28,4,13,0
57,4,43,1,5,49,5,8,1
41,1,45,3,2,29,5,3,0
20,2,36,3,3,21,1,7,0
39,4,2,2,2,35,3,1,0
19,2,10,2,5,62,4,15,1
41,3,9,2,1,45,2,5,0
61,4,11,1,3,49,4,17,1
47,3,3,5,1,35,1,2,0
55,4,0,2,9,34,3,1,0
19,1,39,1,7,63,4,13,0
38,2,38,5,8,29,4,3,0
50,4,15,3,3,44,3,6,0
29,2,34,4,5,43,2,0,0
39,1,24,5,7,23,2,17,0
61,4,27,1,2,38,2,5,0
42,4,42,1,8,50,1,17,0
44,1,6,5,9,40,2,5,0
59,2,15,2,5,46,2,6,0
45,2,16,1,6,50,5,7,1
33,1,28,2,9,59,1,12,0
32,3,10,1,1,32,3,2,0
64,2,17,2,7,53,2,0,0
61,2,11,4,5,51,2,1,0
20,2,19,2,9,23,5,12,0
54,4,10,1,9,61,5,16,1
24,4,0,4,9,37,2,19,0
38,2,27,2,2,46,2,14,0
26,1,45,4,4,34,4,7,0
56,4,17,5,8,24,3,6,0
35,4,2,5,6,24,1,2,0
21,1,13,3,7,23,3,5,0
42,1,38,3,3,20,2,2,0
31,4,24,4,6,63,2,5,0
26,1,34,5,1,46,4,8,0
43,1,29,1,6,44,2,0,0
19,3,39,3,3,55,5,1,0
37,3,19,5,7,23,4,15,0
45,3,30,1,2,62,4,2,0
64,3,38,1,5,52,2,19,0
24,1,10,4,1,64,4,5,0
61,1,1,2,1,24,5,7,0
25,4,38,2,4,44,3,18,0
64,3,27,1,8,29,5,4,0
52,1,38,1,2,37,5,8,0
31,4,2,4,7,55,1,9,0
34,4,19,3,8,38,2,13,0
53,1,9,2,7,51,4,12,0
57,2,27,5,7,62,3,15,0
21,2,5,2,9,63,5,9,1
19,3,44,2,6,59,1,4,0
23,1,44,5,4,44,4,6,0
59,2,35,4,7,51,2,18,0
21,1,2,3,9,58,2,13,0
46,2,20,5,2,37,2,14,0
35,3,22,1,7,21,3,3,0
43,1,19,5,6,33,4,11,0
